Exoplanet Name,Discovered Year
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-111 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-113 b,2004
OGLE-TR-132 b,2004
OGLE-TR-132 b,2004
OGLE-TR-132 b,2004
OGLE-TR-132 b,2004
OGLE-TR-132 b,2004
OGLE-TR-132 b,2004
OGLE-TR-132 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
TrES-1 b,2004
AB Pic b,2005
GJ 581 b,2005
GJ 581 b,2005
GJ 581 b,2005
GJ 581 b,2005
GJ 581 b,2005
GJ 581 b,2005
GJ 876 d,2005
GJ 876 d,2005
GJ 876 d,2005
GJ 876 d,2005
GJ 876 d,2005
GJ 876 d,2005
GJ 876 d,2005
HD 101930 b,2005
HD 101930 b,2005
HD 102117 b,2005
HD 102117 b,2005
HD 102117 b,2005
HD 102117 b,2005
HD 102117 b,2005
HD 107148 b,2005
HD 107148 b,2005
HD 108874 c,2005
HD 108874 c,2005
HD 108874 c,2005
HD 108874 c,2005
HD 108874 c,2005
HD 109749 b,2005
HD 109749 b,2005
HD 109749 b,2005
HD 118203 b,2005
HD 118203 b,2005
HD 118203 b,2005
HD 11964 b,2005
HD 11964 b,2005
HD 11964 b,2005
HD 11964 b,2005
HD 11977 b,2005
HD 11977 b,2005
HD 11977 b,2005
HD 128311 c,2005
HD 128311 c,2005
HD 128311 c,2005
HD 128311 c,2005
HD 128311 c,2005
HD 13189 b,2005
HD 13189 b,2005
HD 142022 A b,2005
HD 142022 A b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149026 b,2005
HD 149143 b,2005
HD 149143 b,2005
HD 149143 b,2005
HD 149143 b,2005
HD 164922 b,2005
HD 164922 b,2005
HD 164922 b,2005
HD 164922 b,2005
HD 164922 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 189733 b,2005
HD 190360 c,2005
HD 190360 c,2005
HD 190360 c,2005
HD 190360 c,2005
HD 212301 b,2005
HD 212301 b,2005
HD 217107 c,2005
HD 217107 c,2005
HD 217107 c,2005
HD 217107 c,2005
HD 217107 c,2005
HD 217107 c,2005
HD 2638 b,2005
HD 2638 b,2005
HD 2638 b,2005
HD 27894 b,2005
HD 27894 b,2005
HD 27894 b,2005
HD 27894 b,2005
HD 33564 b,2005
HD 37124 d,2005
HD 37124 d,2005
HD 37124 d,2005
HD 37124 d,2005
HD 4308 b,2005
HD 4308 b,2005
HD 50499 b,2005
HD 50499 b,2005
HD 50499 b,2005
HD 50499 b,2005
HD 50499 b,2005
HD 63454 b,2005
HD 63454 b,2005
HD 63454 b,2005
HD 66428 b,2005
